Time [s],HBX6,HBX5,HBX4,HBX3,RA RX,RA TX,DEC RX,DEC TX
0.294213958,1,1,1,0,1,1,0,1
0.294214000,0,1,1,0,0,1,0,1
0.294318292,1,1,1,0,1,1,1,1
0.294526542,0,1,1,0,0,1,0,1
0.294630833,1,1,1,0,1,1,1,1
0.294734875,1,1,1,0,1,1,0,1
0.294734917,0,1,1,0,0,1,0,1
0.295464292,1,1,1,0,0,1,1,1
0.295464333,1,1,1,0,1,1,1,1
0.295568375,0,1,1,0,0,1,0,1
0.295672667,1,1,1,0,1,1,1,1
0.295776708,1,1,1,0,1,1,0,1
0.295776750,0,1,1,0,0,1,0,1
0.296506125,1,1,1,0,0,1,0,1
0.296506167,1,1,1,0,1,1,1,1
0.296610208,0,1,1,0,0,1,0,1
0.296922875,1,1,1,0,1,1,1,1
0.297026917,0,1,1,0,0,1,0,1
0.297235417,1,1,1,0,1,1,1,1
0.297339458,1,1,1,0,1,1,0,1
0.297339500,0,1,1,0,0,1,0,1
0.297547958,1,1,1,0,0,1,0,1
0.297548000,1,1,1,0,1,1,1,1
0.297681917,1,1,1,0,1,1,1,0
0.297681958,1,0,1,0,1,1,1,0
0.297785917,1,0,1,0,1,1,1,1
0.297786000,1,1,1,0,1,1,1,1
0.297889917,1,1,1,0,1,1,1,0
0.297890000,1,0,1,0,1,1,1,0
0.297993958,1,0,1,0,1,1,1,1
0.297994042,1,1,1,0,1,1,1,1
0.298097958,1,1,1,0,1,1,1,0
0.298098000,1,0,1,0,1,1,1,0
0.298202000,1,0,1,0,1,1,1,1
0.298202083,1,1,1,0,1,1,1,1
0.298306000,1,1,1,0,1,1,1,0
0.298306042,1,0,1,0,1,1,1,0
0.298410042,1,0,1,0,1,1,1,1
0.298410125,1,1,1,0,1,1,1,1
0.298514042,1,1,1,0,1,1,1,0
0.298514083,1,0,1,0,1,1,1,0
0.298618083,1,0,1,0,1,1,1,1
0.298618167,1,1,1,0,1,1,1,1
0.298722083,1,1,1,0,1,1,1,0
0.298722125,1,0,1,0,1,1,1,0
0.298930125,1,0,1,0,1,1,1,1
0.298930208,1,1,1,0,1,1,1,1
0.299034167,1,1,1,0,1,1,1,0
0.299034208,1,0,1,0,1,1,1,0
0.299138167,1,0,1,0,1,1,1,1
0.299138250,1,1,1,0,1,1,1,1
0.299242208,1,1,1,0,1,1,1,0
0.299242250,1,0,1,0,1,1,1,0
0.299346208,1,0,1,0,1,1,1,1
0.299346292,1,1,1,0,1,1,1,1
0.299450250,1,1,1,0,1,1,1,0
0.299450292,1,0,1,0,1,1,1,0
0.299554250,1,0,1,0,1,1,1,1
0.299554333,1,1,1,0,1,1,1,1
0.299762292,1,1,1,0,1,1,1,0
0.299762333,1,0,1,0,1,1,1,0
0.299866292,1,0,1,0,1,1,1,1
0.299866375,1,1,1,0,1,1,1,1
0.299970333,1,1,1,0,1,1,1,0
0.299970375,1,0,1,0,1,1,1,0
0.300698458,1,0,1,0,1,1,1,1
0.300698542,1,1,1,0,1,1,1,1
0.300802500,1,1,1,0,1,1,1,0
0.300802542,1,0,1,0,1,1,1,0
0.300906500,1,0,1,0,1,1,1,1
0.300906583,1,1,1,0,1,1,1,1
0.301010542,1,1,1,0,1,1,1,0
0.301010583,1,0,1,0,1,1,1,0
0.301114542,1,0,1,0,1,1,1,1
0.301114625,1,1,1,0,1,1,1,1
0.301218583,1,1,1,0,1,1,1,0
0.301218625,1,0,1,0,1,1,1,0
0.301738667,1,0,1,0,1,1,1,1
0.301738750,1,1,1,0,1,1,1,1
0.301842708,1,1,1,0,1,1,1,0
0.301842750,1,0,1,0,1,1,1,0
0.302154750,1,0,1,0,1,1,1,1
0.302154833,1,1,1,0,1,1,1,1
0.302258792,1,1,1,0,1,1,1,0
0.302258833,1,0,1,0,1,1,1,0
0.302466833,1,0,1,0,1,1,1,1
0.302466917,1,1,1,0,1,1,1,1
0.302570833,1,1,1,0,1,1,1,0
0.302570875,1,0,1,0,1,1,1,0
0.302778875,1,0,1,0,1,1,1,1
0.302778958,1,1,1,0,1,1,1,1
0.302882917,1,1,1,0,1,1,1,0
0.302882958,1,0,1,0,1,1,1,0
0.303194958,1,0,1,0,1,1,1,1
0.303195042,1,1,1,0,1,1,1,1
0.303507042,1,1,1,0,1,1,1,0
0.303507083,1,0,1,0,1,1,1,0
0.303715042,1,0,1,0,1,1,1,1
0.303715125,1,1,1,0,1,1,1,1
0.303923125,1,1,1,0,1,1,1,0
0.303923167,1,0,1,0,1,1,1,0
0.304027125,1,0,1,0,1,1,1,1
0.304027208,1,1,1,0,1,1,1,1
0.304963333,1,1,1,0,1,1,1,0
0.304963375,1,0,1,0,1,1,1,0
0.305275375,1,0,1,0,1,1,1,1
0.305275458,1,1,1,0,1,1,1,1
0.306003500,1,1,1,0,1,1,1,0
0.306003542,1,0,1,0,1,1,1,0
0.306315583,1,0,1,0,1,1,1,1
0.306315667,1,1,1,0,1,1,1,1
0.306731667,1,1,1,0,1,1,1,0
0.306731708,1,0,1,0,1,1,1,0
0.306939667,1,0,1,0,1,1,1,1
0.306939792,1,1,1,0,1,1,1,1
0.534044208,0,1,1,0,0,1,0,1
0.534148542,1,1,1,0,1,1,1,1
0.534252583,0,1,1,0,0,1,0,1
0.534356875,1,1,1,0,1,1,1,1
0.534460917,0,1,1,0,1,1,0,1
0.534460958,0,1,1,0,0,1,0,1
0.534565250,1,1,1,0,1,1,1,1
0.534669292,0,1,1,0,0,1,0,1
0.534773625,1,1,1,0,1,1,1,1
0.534877667,0,1,1,0,0,1,0,1
0.534982000,1,1,1,0,1,1,1,1
0.535086042,0,1,1,0,0,1,0,1
0.535294542,1,1,1,0,1,1,1,1
0.535398583,0,1,1,0,0,1,0,1
0.535502917,1,1,1,0,1,1,1,1
0.535606958,0,1,1,0,0,1,0,1
0.535711250,1,1,1,0,1,1,1,1
0.535815333,0,1,1,0,0,1,0,1
0.535919625,1,1,1,0,1,1,1,1
0.536127875,0,1,1,0,0,1,0,1
0.536232167,1,1,1,0,1,1,1,1
0.536336250,0,1,1,0,0,1,0,1
0.537065667,1,1,1,0,1,1,1,1
0.537169708,0,1,1,0,0,1,0,1
0.537274000,1,1,1,0,1,1,0,1
0.537274042,1,1,1,0,1,1,1,1
0.537378083,0,1,1,0,0,1,0,1
0.538107458,1,1,1,0,0,1,0,1
0.538107500,1,1,1,0,1,1,1,1
0.538211542,0,1,1,0,0,1,0,1
0.538524208,1,1,1,0,1,1,1,1
0.538628250,1,1,1,0,1,1,0,1
0.538628292,0,1,1,0,0,1,0,1
0.539149333,1,1,1,0,1,1,1,1
0.539267333,1,1,1,0,1,0,1,1
0.539267375,1,0,1,0,1,0,1,1
0.539371375,1,0,1,0,1,1,1,1
0.539371417,1,1,1,0,1,1,1,1
0.539475375,1,1,1,0,1,0,1,1
0.539475458,1,0,1,0,1,0,1,1
0.539579417,1,0,1,0,1,1,1,1
0.539579458,1,1,1,0,1,1,1,1
0.539683458,1,1,1,0,1,0,1,1
0.539683500,1,0,1,0,1,0,1,1
0.539787458,1,0,1,0,1,1,1,1
0.539787542,1,1,1,0,1,1,1,1
0.539891500,1,1,1,0,1,0,1,1
0.539891542,1,0,1,0,1,0,1,1
0.539995500,1,0,1,0,1,1,1,1
0.539995583,1,1,1,0,1,1,1,1
0.540099542,1,1,1,0,1,0,1,1
0.540099583,1,0,1,0,1,0,1,1
0.540203542,1,0,1,0,1,1,1,1
0.540203625,1,1,1,0,1,1,1,1
0.540307583,1,1,1,0,1,0,1,1
0.540307625,1,0,1,0,1,0,1,1
0.540515583,1,0,1,0,1,1,1,1
0.540515667,1,1,1,0,1,1,1,1
0.540619625,1,1,1,0,1,0,1,1
0.540619667,1,0,1,0,1,0,1,1
0.540723625,1,0,1,0,1,1,1,1
0.540723708,1,1,1,0,1,1,1,1
0.540827667,1,1,1,0,1,0,1,1
0.540827708,1,0,1,0,1,0,1,1
0.540931667,1,0,1,0,1,1,1,1
0.540931750,1,1,1,0,1,1,1,1
0.541035708,1,1,1,0,1,0,1,1
0.541035750,1,0,1,0,1,0,1,1
0.541139708,1,0,1,0,1,1,1,1
0.541139792,1,1,1,0,1,1,1,1
0.541347792,1,1,1,0,1,0,1,1
0.541347833,1,0,1,0,1,0,1,1
0.541451792,1,0,1,0,1,1,1,1
0.541451875,1,1,1,0,1,1,1,1
0.541555833,1,1,1,0,1,0,1,1
0.541555875,1,0,1,0,1,0,1,1
0.542283958,1,0,1,0,1,1,1,1
0.542284042,1,1,1,0,1,1,1,1
0.542388000,1,1,1,0,1,0,1,1
0.542388042,1,0,1,0,1,0,1,1
0.542492000,1,0,1,0,1,1,1,1
0.542492083,1,1,1,0,1,1,1,1
0.542596042,1,1,1,0,1,0,1,1
0.542596083,1,0,1,0,1,0,1,1
0.542700042,1,0,1,0,1,1,1,1
0.542700125,1,1,1,0,1,1,1,1
0.542804083,1,1,1,0,1,0,1,1
0.542804125,1,0,1,0,1,0,1,1
0.543324167,1,0,1,0,1,1,1,1
0.543324250,1,1,1,0,1,1,1,1
0.543428208,1,1,1,0,1,0,1,1
0.543428250,1,0,1,0,1,0,1,1
0.543740292,1,0,1,0,1,1,1,1
0.543740333,1,1,1,0,1,1,1,1
0.543844292,1,1,1,0,1,0,1,1
0.543844333,1,0,1,0,1,0,1,1
0.544364417,1,0,1,0,1,1,1,1
0.544364500,1,1,1,0,1,1,1,1
0.544468458,1,1,1,0,1,0,1,1
0.544468500,1,0,1,0,1,0,1,1
0.544780500,1,0,1,0,1,1,1,1
0.544780583,1,1,1,0,1,1,1,1
0.545092583,1,1,1,0,1,0,1,1
0.545092625,1,0,1,0,1,0,1,1
0.545300583,1,0,1,0,1,1,1,1
0.545300667,1,1,1,0,1,1,1,1
0.545508667,1,1,1,0,1,0,1,1
0.545508708,1,0,1,0,1,0,1,1
0.546444833,1,0,1,0,1,1,1,1
0.546444917,1,1,1,0,1,1,1,1
0.546548875,1,1,1,0,1,0,1,1
0.546548917,1,0,1,0,1,0,1,1
0.546652875,1,0,1,0,1,1,1,1
0.546652958,1,1,1,0,1,1,1,1
0.546860958,1,1,1,0,1,0,1,1
0.546861000,1,0,1,0,1,0,1,1
0.546964958,1,0,1,0,1,1,1,1
0.546965042,1,1,1,0,1,1,1,1
0.547069000,1,1,1,0,1,0,1,1
0.547069042,1,0,1,0,1,0,1,1
0.547485042,1,0,1,0,1,1,1,1
0.547485125,1,1,1,0,1,1,1,1
0.547589083,1,1,1,0,1,0,1,1
0.547589125,1,0,1,0,1,0,1,1
0.547693083,1,0,1,0,1,1,1,1
0.547693167,1,1,1,0,1,1,1,1
0.547901167,1,1,1,0,1,0,1,1
0.547901208,1,0,1,0,1,0,1,1
0.548005167,1,0,1,0,1,1,1,1
0.548005250,1,1,1,0,1,1,1,1
0.548317250,1,1,1,0,1,0,1,1
0.548317292,1,0,1,0,1,0,1,1
0.548525292,1,0,1,0,1,1,1,1
0.548525333,1,1,1,0,1,1,1,1
0.559464958,0,1,1,0,0,1,0,1
0.559569250,1,1,1,0,0,1,0,1
0.559569292,1,1,1,0,1,1,1,1
0.559673333,0,1,1,0,0,1,0,1
0.559777625,1,1,1,0,1,1,1,1
0.559881667,1,1,1,0,1,1,0,1
0.559881708,0,1,1,0,0,1,0,1
0.559986000,1,1,1,0,1,1,1,1
0.560090042,0,1,1,0,0,1,0,1
0.560194375,1,1,1,0,1,1,1,1
0.560298417,0,1,1,0,0,1,0,1
0.560402750,1,1,1,0,1,1,1,1
0.560506792,0,1,1,0,0,1,0,1
0.560715292,1,1,1,0,1,1,1,1
0.560819333,0,1,1,0,0,1,0,1
0.560923667,1,1,1,0,1,1,1,1
0.561027708,0,1,1,0,0,1,0,1
0.561132000,1,1,1,0,0,1,0,1
0.561132042,1,1,1,0,1,1,1,1
0.561236083,0,1,1,0,0,1,0,1
0.561340375,1,1,1,0,1,1,1,1
0.561548625,0,1,1,0,0,1,0,1
0.561652917,1,1,1,0,0,1,0,1
0.561652958,1,1,1,0,1,1,1,1
0.561757000,0,1,1,0,0,1,0,1
0.562486417,1,1,1,0,1,1,1,1
0.562590458,0,1,1,0,0,1,0,1
0.562694792,1,1,1,0,1,1,1,1
0.562798833,0,1,1,0,0,1,0,1
0.563528208,0,1,1,0,0,1,1,1
0.563528250,1,1,1,0,1,1,1,1
0.563632292,0,1,1,0,0,1,0,1
0.563944958,1,1,1,0,1,1,1,1
0.564049000,1,1,1,0,1,1,0,1
0.564049042,0,1,1,0,0,1,0,1
0.564257542,1,1,1,0,1,1,1,1
0.564361583,0,1,1,0,0,1,0,1
0.564570083,1,1,1,0,1,1,1,1
0.564701958,1,1,1,0,1,1,1,0
0.564702000,1,0,1,0,1,1,1,0
0.564805958,1,0,1,0,1,1,1,1
0.564806042,1,1,1,0,1,1,1,1
0.564910000,1,1,1,0,1,1,1,0
0.564910042,1,0,1,0,1,1,1,0
0.565014000,1,0,1,0,1,1,1,1
0.565014083,1,1,1,0,1,1,1,1
0.565118042,1,1,1,0,1,1,1,0
0.565118083,1,0,1,0,1,1,1,0
0.565222042,1,0,1,0,1,1,1,1
0.565222125,1,1,1,0,1,1,1,1
0.565326083,1,1,1,0,1,1,1,0
0.565326125,1,0,1,0,1,1,1,0
0.565430083,1,0,1,0,1,1,1,1
0.565430167,1,1,1,0,1,1,1,1
0.565534125,1,1,1,0,1,1,1,0
0.565534167,1,0,1,0,1,1,1,0
0.565638125,1,0,1,0,1,1,1,1
0.565638208,1,1,1,0,1,1,1,1
0.565742167,1,1,1,0,1,1,1,0
0.565742208,1,0,1,0,1,1,1,0
0.565950167,1,0,1,0,1,1,1,1
0.565950250,1,1,1,0,1,1,1,1
0.566054208,1,1,1,0,1,1,1,0
0.566054250,1,0,1,0,1,1,1,0
0.566158208,1,0,1,0,1,1,1,1
0.566158292,1,1,1,0,1,1,1,1
0.566262250,1,1,1,0,1,1,1,0
0.566262292,1,0,1,0,1,1,1,0
0.566366250,1,0,1,0,1,1,1,1
0.566366333,1,1,1,0,1,1,1,1
0.566470292,1,1,1,0,1,1,1,0
0.566470333,1,0,1,0,1,1,1,0
0.566574292,1,0,1,0,1,1,1,1
0.566574375,1,1,1,0,1,1,1,1
0.566782375,1,1,1,0,1,1,1,0
0.566782417,1,0,1,0,1,1,1,0
0.566886375,1,0,1,0,1,1,1,1
0.566886458,1,1,1,0,1,1,1,1
0.566990417,1,1,1,0,1,1,1,0
0.566990458,1,0,1,0,1,1,1,0
0.567718542,1,0,1,0,1,1,1,1
0.567718625,1,1,1,0,1,1,1,1
0.567822542,1,1,1,0,1,1,1,0
0.567822583,1,0,1,0,1,1,1,0
0.567926583,1,0,1,0,1,1,1,1
0.567926667,1,1,1,0,1,1,1,1
0.568030583,1,1,1,0,1,1,1,0
0.568030625,1,0,1,0,1,1,1,0
0.568134625,1,0,1,0,1,1,1,1
0.568134708,1,1,1,0,1,1,1,1
0.568238625,1,1,1,0,1,1,1,0
0.568238667,1,0,1,0,1,1,1,0
0.568758708,1,0,1,0,1,1,1,1
0.568758833,1,1,1,0,1,1,1,1
0.568862750,1,1,1,0,1,1,1,0
0.568862792,1,0,1,0,1,1,1,0
0.569174792,1,0,1,0,1,1,1,1
0.569174917,1,1,1,0,1,1,1,1
0.569278833,1,1,1,0,1,1,1,0
0.569278875,1,0,1,0,1,1,1,0
0.569486875,1,0,1,0,1,1,1,1
0.569486958,1,1,1,0,1,1,1,1
0.569590917,1,1,1,0,1,1,1,0
0.569590958,1,0,1,0,1,1,1,0
0.569798917,1,0,1,0,1,1,1,1
0.569799000,1,1,1,0,1,1,1,1
0.569902958,1,1,1,0,1,1,1,0
0.569903000,1,0,1,0,1,1,1,0
0.570215000,1,0,1,0,1,1,1,1
0.570215083,1,1,1,0,1,1,1,1
0.570527083,1,1,1,0,1,1,1,0
0.570527125,1,0,1,0,1,1,1,0
0.570735125,1,0,1,0,1,1,1,1
0.570735208,1,1,1,0,1,1,1,1
0.570943167,1,1,1,0,1,1,1,0
0.570943208,1,0,1,0,1,1,1,0
0.571047167,1,0,1,0,1,1,1,1
0.571047250,1,1,1,0,1,1,1,1
0.571983375,1,1,1,0,1,1,1,0
0.571983417,1,0,1,0,1,1,1,0
0.572295417,1,0,1,0,1,1,1,1
0.572295500,1,1,1,0,1,1,1,1
0.573023583,1,1,1,0,1,1,1,0
0.573023625,1,0,1,0,1,1,1,0
0.573335625,1,0,1,0,1,1,1,1
0.573335708,1,1,1,0,1,1,1,1
0.573751708,1,1,1,0,1,1,1,0
0.573751750,1,0,1,0,1,1,1,0
0.573959750,1,0,1,0,1,1,1,1
0.573959833,1,1,1,0,1,1,1,1
0.801066292,0,1,1,0,0,1,0,1
0.801170583,1,1,1,0,0,1,0,1
0.801170625,1,1,1,0,1,1,1,1
0.801274667,0,1,1,0,0,1,0,1
0.801378958,1,1,1,0,1,1,0,1
0.801379000,1,1,1,0,1,1,1,1
0.801483042,0,1,1,0,0,1,0,1
0.801587333,1,1,1,0,1,1,1,1
0.801691375,1,1,1,0,1,1,0,1
0.801691417,0,1,1,0,0,1,0,1
0.801795708,1,1,1,0,1,1,1,1
0.801899750,0,1,1,0,0,1,0,1
0.802004083,1,1,1,0,1,1,1,1
0.802108125,0,1,1,0,0,1,0,1
0.802316625,1,1,1,0,1,1,1,1
0.802420667,0,1,1,0,0,1,0,1
0.802525000,1,1,1,0,1,1,1,1
0.802629042,0,1,1,0,0,1,0,1
0.802733375,1,1,1,0,1,1,1,1
0.802837417,0,1,1,0,0,1,0,1
0.802941708,1,1,1,0,0,1,0,1
0.802941750,1,1,1,0,1,1,1,1
0.803149958,0,1,1,0,0,1,0,1
0.803254292,1,1,1,0,1,1,1,1
0.803358333,0,1,1,0,0,1,0,1
0.804087750,1,1,1,0,1,1,1,1
0.804191792,0,1,1,0,0,1,0,1
0.804296125,1,1,1,0,1,1,1,1
0.804400167,0,1,1,0,0,1,0,1
0.805129583,1,1,1,0,1,1,1,1
0.805233625,0,1,1,0,0,1,0,1
0.805546292,1,1,1,0,0,1,0,1
0.805546333,1,1,1,0,1,1,1,1
0.805650375,0,1,1,0,0,1,0,1
0.806171417,1,1,1,0,1,1,1,1
0.806291208,1,1,1,0,1,0,1,1
0.806291250,1,0,1,0,1,0,1,1
0.806395250,1,0,1,0,1,1,1,1
0.806395292,1,1,1,0,1,1,1,1
0.806499250,1,1,1,0,1,0,1,1
0.806499292,1,0,1,0,1,0,1,1
0.806603292,1,0,1,0,1,1,1,1
0.806603333,1,1,1,0,1,1,1,1
0.806707292,1,1,1,0,1,0,1,1
0.806707375,1,0,1,0,1,0,1,1
0.806811333,1,0,1,0,1,1,1,1
0.806811375,1,1,1,0,1,1,1,1
0.806915375,1,1,1,0,1,0,1,1
0.806915417,1,0,1,0,1,0,1,1
0.807019375,1,0,1,0,1,1,1,1
0.807019458,1,1,1,0,1,1,1,1
0.807123417,1,1,1,0,1,0,1,1
0.807123458,1,0,1,0,1,0,1,1
0.807227417,1,0,1,0,1,1,1,1
0.807227500,1,1,1,0,1,1,1,1
0.807331458,1,1,1,0,1,0,1,1
0.807331500,1,0,1,0,1,0,1,1
0.807539458,1,0,1,0,1,1,1,1
0.807539542,1,1,1,0,1,1,1,1
0.807643500,1,1,1,0,1,0,1,1
0.807643542,1,0,1,0,1,0,1,1
0.807747500,1,0,1,0,1,1,1,1
0.807747583,1,1,1,0,1,1,1,1
0.807851542,1,1,1,0,1,0,1,1
0.807851583,1,0,1,0,1,0,1,1
0.807955542,1,0,1,0,1,1,1,1
0.807955625,1,1,1,0,1,1,1,1
0.808059583,1,1,1,0,1,0,1,1
0.808059625,1,0,1,0,1,0,1,1
0.808163583,1,0,1,0,1,1,1,1
0.808163667,1,1,1,0,1,1,1,1
0.808371667,1,1,1,0,1,0,1,1
0.808371708,1,0,1,0,1,0,1,1
0.808475667,1,0,1,0,1,1,1,1
0.808475750,1,1,1,0,1,1,1,1
0.808579708,1,1,1,0,1,0,1,1
0.808579750,1,0,1,0,1,0,1,1
0.809307833,1,0,1,0,1,1,1,1
0.809307917,1,1,1,0,1,1,1,1
0.809411875,1,1,1,0,1,0,1,1
0.809411917,1,0,1,0,1,0,1,1
0.809515875,1,0,1,0,1,1,1,1
0.809515958,1,1,1,0,1,1,1,1
0.809619917,1,1,1,0,1,0,1,1
0.809619958,1,0,1,0,1,0,1,1
0.809723917,1,0,1,0,1,1,1,1
0.809724000,1,1,1,0,1,1,1,1
0.809827958,1,1,1,0,1,0,1,1
0.809828000,1,0,1,0,1,0,1,1
0.810348042,1,0,1,0,1,1,1,1
0.810348125,1,1,1,0,1,1,1,1
0.810452083,1,1,1,0,1,0,1,1
0.810452125,1,0,1,0,1,0,1,1
0.810764125,1,0,1,0,1,1,1,1
0.810764208,1,1,1,0,1,1,1,1
0.810868167,1,1,1,0,1,0,1,1
0.810868208,1,0,1,0,1,0,1,1
0.811388292,1,0,1,0,1,1,1,1
0.811388333,1,1,1,0,1,1,1,1
0.811492333,1,1,1,0,1,0,1,1
0.811492375,1,0,1,0,1,0,1,1
0.811804375,1,0,1,0,1,1,1,1
0.811804458,1,1,1,0,1,1,1,1
0.812116458,1,1,1,0,1,0,1,1
0.812116500,1,0,1,0,1,0,1,1
0.812324458,1,0,1,0,1,1,1,1
0.812324542,1,1,1,0,1,1,1,1
0.812532542,1,1,1,0,1,0,1,1
0.812532583,1,0,1,0,1,0,1,1
0.813468708,1,0,1,0,1,1,1,1
0.813468792,1,1,1,0,1,1,1,1
0.813572750,1,1,1,0,1,0,1,1
0.813572792,1,0,1,0,1,0,1,1
0.813676750,1,0,1,0,1,1,1,1
0.813676833,1,1,1,0,1,1,1,1
0.813884792,1,1,1,0,1,0,1,1
0.813884875,1,0,1,0,1,0,1,1
0.813988833,1,0,1,0,1,1,1,1
0.813988917,1,1,1,0,1,1,1,1
0.814092875,1,1,1,0,1,0,1,1
0.814092917,1,0,1,0,1,0,1,1
0.814508917,1,0,1,0,1,1,1,1
0.814509000,1,1,1,0,1,1,1,1
0.814612958,1,1,1,0,1,0,1,1
0.814613000,1,0,1,0,1,0,1,1
0.814716958,1,0,1,0,1,1,1,1
0.814717042,1,1,1,0,1,1,1,1
0.814925042,1,1,1,0,1,0,1,1
0.814925083,1,0,1,0,1,0,1,1
0.815029042,1,0,1,0,1,1,1,1
0.815029125,1,1,1,0,1,1,1,1
0.815341125,1,1,1,0,1,0,1,1
0.815341167,1,0,1,0,1,0,1,1
0.815549125,1,0,1,0,1,1,1,1
0.815549208,1,1,1,0,1,1,1,1
0.826487042,0,1,1,0,0,1,0,1
0.826591375,1,1,1,0,1,1,1,1
0.826695417,0,1,1,0,0,1,0,1
0.826799708,1,1,1,0,1,1,1,1
0.826903792,0,1,1,0,0,1,0,1
0.827008083,1,1,1,0,1,1,1,1
0.827112125,1,1,1,0,1,1,0,1
0.827112167,0,1,1,0,0,1,0,1
0.827216458,1,1,1,0,1,1,1,1
0.827320500,0,1,1,0,0,1,0,1
0.827424833,1,1,1,0,1,1,1,1
0.827528875,0,1,1,0,0,1,0,1
0.827737375,1,1,1,0,1,1,1,1
0.827841417,0,1,1,0,0,1,0,1
0.827945750,1,1,1,0,1,1,1,1
0.828049792,0,1,1,0,0,1,0,1
0.828154125,1,1,1,0,1,1,1,1
0.828258167,0,1,1,0,0,1,0,1
0.828362458,1,1,1,0,0,1,1,1
0.828362500,1,1,1,0,1,1,1,1
0.828570708,0,1,1,0,0,1,0,1
0.828675042,1,1,1,0,1,1,1,1
0.828779083,0,1,1,0,0,1,0,1
0.829508500,1,1,1,0,1,1,1,1
0.829612542,0,1,1,0,0,1,0,1
0.829716875,1,1,1,0,1,1,1,1
0.829820917,0,1,1,0,0,1,0,1
0.830550333,1,1,1,0,1,1,1,1
0.830654375,0,1,1,0,0,1,0,1
0.830967042,1,1,1,0,0,1,0,1
0.830967083,1,1,1,0,1,1,1,1
0.831071125,0,1,1,0,0,1,0,1
0.831279625,1,1,1,0,1,1,1,1
0.831383667,0,1,1,0,0,1,0,1
0.831592167,1,1,1,0,1,1,1,1
0.831722000,1,1,1,0,1,1,1,0
0.831722042,1,0,1,0,1,1,1,0
0.831826000,1,0,1,0,1,1,1,1
0.831826083,1,1,1,0,1,1,1,1
0.831930042,1,1,1,0,1,1,1,0
0.831930083,1,0,1,0,1,1,1,0
0.832034042,1,0,1,0,1,1,1,1
0.832034125,1,1,1,0,1,1,1,1
0.832138083,1,1,1,0,1,1,1,0
0.832138125,1,0,1,0,1,1,1,0
0.832242083,1,0,1,0,1,1,1,1
0.832242167,1,1,1,0,1,1,1,1
0.832346125,1,1,1,0,1,1,1,0
0.832346167,1,0,1,0,1,1,1,0
0.832450125,1,0,1,0,1,1,1,1
0.832450208,1,1,1,0,1,1,1,1
0.832554167,1,1,1,0,1,1,1,0
0.832554208,1,0,1,0,1,1,1,0
0.832658167,1,0,1,0,1,1,1,1
0.832658250,1,1,1,0,1,1,1,1
0.832762208,1,1,1,0,1,1,1,0
0.832762250,1,0,1,0,1,1,1,0
0.832970250,1,0,1,0,1,1,1,1
0.832970333,1,1,1,0,1,1,1,1
0.833074292,1,1,1,0,1,1,1,0
0.833074333,1,0,1,0,1,1,1,0
0.833178292,1,0,1,0,1,1,1,1
0.833178375,1,1,1,0,1,1,1,1
0.833282333,1,1,1,0,1,1,1,0
0.833282375,1,0,1,0,1,1,1,0
0.833386333,1,0,1,0,1,1,1,1
0.833386417,1,1,1,0,1,1,1,1
0.833490333,1,1,1,0,1,1,1,0
