Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.121513000,1,1,1,0
-0.000000000,0,1,1,0
0.000104000,1,1,1,0
0.000208000,0,1,1,0
0.000312000,1,1,1,0
0.000416000,0,1,1,0
0.000521000,1,1,1,0
0.000625000,0,1,1,0
0.000729000,1,1,1,0
0.000833000,0,1,1,0
0.000937000,1,1,1,0
0.001041000,0,1,1,0
0.001250000,1,1,1,0
0.001354000,0,1,1,0
0.001458000,1,1,1,0
0.001562000,0,1,1,0
0.001667000,1,1,1,0
0.001771000,0,1,1,0
0.001875000,1,1,1,0
0.002083000,0,1,1,0
0.002188000,1,1,1,0
0.002292000,0,1,1,0
0.003021000,1,1,1,0
0.003125000,0,1,1,0
0.003230000,1,1,1,0
0.003334000,0,1,1,0
0.004063000,1,1,1,0
0.004167000,0,1,1,0
0.004480000,1,1,1,0
0.004584000,0,1,1,0
0.005105000,1,1,1,0
0.005304000,1,0,1,0
0.005408000,1,1,1,0
0.005512000,1,0,1,0
0.005616000,1,1,1,0
0.005720000,1,0,1,0
0.005824000,1,1,1,0
0.005928000,1,0,1,0
0.006032000,1,1,1,0
0.006136000,1,0,1,0
0.006240000,1,1,1,0
0.006344000,1,0,1,0
0.006552000,1,1,1,0
0.006656000,1,0,1,0
0.006760000,1,1,1,0
0.006864000,1,0,1,0
0.006969000,1,1,1,0
0.007072000,1,0,1,0
0.007177000,1,1,1,0
0.007385000,1,0,1,0
0.007489000,1,1,1,0
0.007593000,1,0,1,0
0.008321000,1,1,1,0
0.008425000,1,0,1,0
0.008529000,1,1,1,0
0.008633000,1,0,1,0
0.008737000,1,1,1,0
0.008841000,1,0,1,0
0.009361000,1,1,1,0
0.009465000,1,0,1,0
0.009777000,1,1,1,0
0.009881000,1,0,1,0
0.010401000,1,1,1,0
0.010505000,1,0,1,0
0.010817000,1,1,1,0
0.010921000,1,0,1,0
0.011025000,1,1,1,0
0.011129000,1,0,1,0
0.011441000,1,1,1,0
0.011545000,1,0,1,0
0.012482000,1,1,1,0
0.012586000,1,0,1,0
0.012690000,1,1,1,0
0.012898000,1,0,1,0
0.013106000,1,1,1,0
0.013210000,1,0,1,0
0.013522000,1,1,1,0
0.013626000,1,0,1,0
0.013730000,1,1,1,0
0.014146000,1,0,1,0
0.014458000,1,1,1,0
0.025420000,0,1,1,0
0.025525000,1,1,1,0
0.025629000,0,1,1,0
0.025733000,1,1,1,0
0.025837000,0,1,1,0
0.025941000,1,1,1,0
0.026046000,0,1,1,0
0.026150000,1,1,1,0
0.026254000,0,1,1,0
0.026358000,1,1,1,0
0.026462000,0,1,1,0
0.026671000,1,1,1,0
0.026775000,0,1,1,0
0.026879000,1,1,1,0
0.026983000,0,1,1,0
0.027088000,1,1,1,0
0.027192000,0,1,1,0
0.027296000,1,1,1,0
0.027504000,0,1,1,0
0.027608000,1,1,1,0
