Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.128198000,1,1,1,0
0.000000000,0,1,1,0
0.000105000,1,1,1,0
0.000209000,0,1,1,0
0.000313000,1,1,1,0
0.000417000,0,1,1,0
0.000521000,1,1,1,0
0.000625000,0,1,1,0
0.000730000,1,1,1,0
0.000834000,0,1,1,0
0.000938000,1,1,1,0
0.001042000,0,1,1,0
0.001251000,1,1,1,0
0.001355000,0,1,1,0
0.001459000,1,1,1,0
0.001563000,0,1,1,0
0.001667000,1,1,1,0
0.001771000,0,1,1,0
0.001876000,1,1,1,0
0.002084000,0,1,1,0
0.002188000,1,1,1,0
0.002292000,0,1,1,0
0.003022000,1,1,1,0
0.003126000,0,1,1,0
0.003230000,1,1,1,0
0.003334000,0,1,1,0
0.004064000,1,1,1,0
0.004168000,0,1,1,0
0.004480000,1,1,1,0
0.004584000,0,1,1,0
0.005106000,1,1,1,0
0.005256000,1,0,1,0
0.005360000,1,1,1,0
0.005464000,1,0,1,0
0.005568000,1,1,1,0
0.005672000,1,0,1,0
0.005776000,1,1,1,0
0.005880000,1,0,1,0
0.005984000,1,1,1,0
0.006088000,1,0,1,0
0.006193000,1,1,1,0
0.006296000,1,0,1,0
0.006505000,1,1,1,0
0.006609000,1,0,1,0
0.006713000,1,1,1,0
0.006817000,1,0,1,0
0.006921000,1,1,1,0
0.007025000,1,0,1,0
0.007129000,1,1,1,0
0.007337000,1,0,1,0
0.007441000,1,1,1,0
0.007545000,1,0,1,0
0.008273000,1,1,1,0
0.008377000,1,0,1,0
0.008481000,1,1,1,0
0.008585000,1,0,1,0
0.008689000,1,1,1,0
0.008793000,1,0,1,0
0.009313000,1,1,1,0
0.009417000,1,0,1,0
0.009729000,1,1,1,0
0.009833000,1,0,1,0
0.010353000,1,1,1,0
0.010457000,1,0,1,0
0.010769000,1,1,1,0
0.010873000,1,0,1,0
0.010978000,1,1,1,0
0.011081000,1,0,1,0
0.011290000,1,1,1,0
0.011498000,1,0,1,0
0.012434000,1,1,1,0
0.012538000,1,0,1,0
0.012642000,1,1,1,0
0.012954000,1,0,1,0
0.013058000,1,1,1,0
0.013162000,1,0,1,0
0.013474000,1,1,1,0
0.013578000,1,0,1,0
0.013890000,1,1,1,0
0.013994000,1,0,1,0
0.014098000,1,1,1,0
0.014306000,1,0,1,0
0.014410000,1,1,1,0
0.025421000,0,1,1,0
0.025525000,1,1,1,0
0.025629000,0,1,1,0
0.025734000,1,1,1,0
0.025838000,0,1,1,0
0.025942000,1,1,1,0
0.026046000,0,1,1,0
0.026151000,1,1,1,0
0.026255000,0,1,1,0
0.026359000,1,1,1,0
0.026463000,0,1,1,0
0.026671000,1,1,1,0
0.026775000,0,1,1,0
0.026880000,1,1,1,0
0.026984000,0,1,1,0
0.027088000,1,1,1,0
0.027192000,0,1,1,0
0.027297000,1,1,1,0
0.027505000,0,1,1,0
0.027609000,1,1,1,0
0.027713000,0,1,1,0
0.028443000,1,1,1,0
0.028547000,0,1,1,0
0.028651000,1,1,1,0
0.028755000,0,1,1,0
0.029484000,1,1,1,0
0.029588000,0,1,1,0
0.029901000,1,1,1,0
0.030005000,0,1,1,0
0.030214000,1,1,1,0
0.030318000,0,1,1,0
0.030526000,1,1,1,0
0.030698000,1,0,1,0
0.030802000,1,1,1,0
0.030906000,1,0,1,0
0.031010000,1,1,1,0
0.031114000,1,0,1,0
0.031218000,1,1,1,0
0.031322000,1,0,1,0
0.031426000,1,1,1,0
0.031530000,1,0,1,0
0.031634000,1,1,1,0
0.031738000,1,0,1,0
0.031947000,1,1,1,0
0.032050000,1,0,1,0
0.032155000,1,1,1,0
0.032259000,1,0,1,0
0.032363000,1,1,1,0
0.032467000,1,0,1,0
0.032571000,1,1,1,0
0.032779000,1,0,1,0
0.032883000,1,1,1,0
0.032987000,1,0,1,0
0.033715000,1,1,1,0
0.033819000,1,0,1,0
0.033923000,1,1,1,0
0.034027000,1,0,1,0
0.034131000,1,1,1,0
0.034235000,1,0,1,0
0.034755000,1,1,1,0
0.034859000,1,0,1,0
0.035171000,1,1,1,0
0.035275000,1,0,1,0
0.035483000,1,1,1,0
0.035587000,1,0,1,0
0.035795000,1,1,1,0
0.035899000,1,0,1,0
0.036211000,1,1,1,0
0.036315000,1,0,1,0
0.036419000,1,1,1,0
0.036523000,1,0,1,0
0.036731000,1,1,1,0
0.036939000,1,0,1,0
0.037044000,1,1,1,0
0.037980000,1,0,1,0
0.038084000,1,1,1,0
0.039020000,1,0,1,0
0.039124000,1,1,1,0
0.039228000,1,0,1,0
0.039540000,1,1,1,0
0.039644000,1,0,1,0
0.039956000,1,1,1,0
0.058864000,0,1,1,0
0.058968000,1,1,1,0
0.059072000,0,1,1,0
0.059177000,1,1,1,0
0.059281000,0,1,1,0
0.059385000,1,1,1,0
0.059489000,0,1,1,0
0.059593000,1,1,1,0
0.059697000,0,1,1,0
0.059802000,1,1,1,0
0.059906000,0,1,1,0
0.060114000,1,1,1,0
0.060218000,0,1,1,0
0.060323000,1,1,1,0
0.060427000,0,1,1,0
0.060531000,1,1,1,0
0.060635000,0,1,1,0
0.060739000,1,1,1,0
0.060948000,0,1,1,0
0.061052000,1,1,1,0
0.061156000,0,1,1,0
0.061885000,1,1,1,0
0.061989000,0,1,1,0
0.062302000,1,1,1,0
0.062406000,0,1,1,0
0.062927000,1,1,1,0
0.063031000,0,1,1,0
0.063136000,1,1,1,0
0.063240000,0,1,1,0
0.063657000,1,1,1,0
0.063761000,0,1,1,0
0.063969000,1,1,1,0
0.064073000,0,1,1,0
0.065011000,1,1,1,0
0.065115000,0,1,1,0
0.066053000,1,1,1,0
0.066157000,0,1,1,0
0.067095000,1,1,1,0
0.067313000,1,0,1,0
0.067417000,1,1,1,0
0.067521000,1,0,1,0
0.067625000,1,1,1,0
0.067729000,1,0,1,0
0.067834000,1,1,1,0
0.067937000,1,0,1,0
0.068042000,1,1,1,0
0.068146000,1,0,1,0
0.068250000,1,1,1,0
0.068354000,1,0,1,0
0.068562000,1,1,1,0
0.068666000,1,0,1,0
0.068770000,1,1,1,0
0.068874000,1,0,1,0
0.068978000,1,1,1,0
0.069082000,1,0,1,0
0.069186000,1,1,1,0
0.069394000,1,0,1,0
0.069498000,1,1,1,0
0.069602000,1,0,1,0
0.070330000,1,1,1,0
0.070434000,1,0,1,0
0.070538000,1,1,1,0
0.070642000,1,0,1,0
0.070746000,1,1,1,0
0.070850000,1,0,1,0
0.071370000,1,1,1,0
0.071474000,1,0,1,0
