Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-0.027333000,1,0,1,0
-0.027233000,1,1,1,0
-0.027129000,1,0,1,0
-0.026921000,1,1,1,0
-0.026817000,1,0,1,0
-0.026713000,1,1,1,0
-0.026609000,1,0,1,0
-0.026505000,1,1,1,0
-0.026401000,1,0,1,0
-0.026297000,1,1,1,0
-0.026089000,1,0,1,0
-0.025985000,1,1,1,0
-0.025881000,1,0,1,0
-0.025153000,1,1,1,0
-0.025049000,1,0,1,0
-0.024945000,1,1,1,0
-0.024841000,1,0,1,0
-0.024737000,1,1,1,0
-0.024633000,1,0,1,0
-0.024113000,1,1,1,0
-0.024009000,1,0,1,0
-0.023697000,1,1,1,0
-0.023593000,1,0,1,0
-0.023385000,1,1,1,0
-0.023281000,1,0,1,0
-0.023073000,1,1,1,0
-0.022969000,1,0,1,0
-0.022657000,1,1,1,0
-0.022553000,1,0,1,0
-0.022448000,1,1,1,0
-0.022345000,1,0,1,0
-0.022032000,1,1,1,0
-0.021928000,1,0,1,0
-0.021824000,1,1,1,0
-0.020888000,1,0,1,0
-0.020784000,1,1,1,0
-0.019848000,1,0,1,0
-0.019744000,1,1,1,0
-0.019536000,1,0,1,0
-0.019432000,1,1,1,0
-0.019120000,1,0,1,0
-0.018912000,1,1,1,0
-0.000000000,0,1,1,0
0.000104000,1,1,1,0
0.000208000,0,1,1,0
0.000312000,1,1,1,0
0.000416000,0,1,1,0
0.000521000,1,1,1,0
0.000625000,0,1,1,0
0.000729000,1,1,1,0
0.000833000,0,1,1,0
0.000937000,1,1,1,0
0.001041000,0,1,1,0
0.001250000,1,1,1,0
0.001354000,0,1,1,0
0.001458000,1,1,1,0
0.001562000,0,1,1,0
0.001667000,1,1,1,0
0.001771000,0,1,1,0
0.001875000,1,1,1,0
0.002083000,0,1,1,0
0.002188000,1,1,1,0
0.002292000,0,1,1,0
0.003021000,1,1,1,0
0.003125000,0,1,1,0
0.003438000,1,1,1,0
0.003542000,0,1,1,0
0.004063000,1,1,1,0
0.004167000,0,1,1,0
0.004271000,1,1,1,0
0.004375000,0,1,1,0
0.004792000,1,1,1,0
0.004896000,0,1,1,0
0.005105000,1,1,1,0
0.005209000,0,1,1,0
0.005313000,1,1,1,0
0.005417000,0,1,1,0
0.006147000,1,1,1,0
0.006251000,0,1,1,0
0.007188000,1,1,1,0
