Time [s],HBX6,HBX5,HBX4,HBX3,RA RX,RA TX,DEC RX,DEC TX
0.012993958,1,0,1,0,1,0,1,1
0.013097917,1,0,1,0,1,1,1,1
0.013097958,1,1,1,0,1,1,1,1
0.013305958,1,1,1,0,1,0,1,1
0.013306000,1,0,1,0,1,0,1,1
0.013409958,1,0,1,0,1,1,1,1
0.013410042,1,1,1,0,1,1,1,1
0.013514000,1,1,1,0,1,0,1,1
0.013514042,1,0,1,0,1,0,1,1
0.013722042,1,0,1,0,1,1,1,1
0.013722125,1,1,1,0,1,1,1,1
0.013930083,1,1,1,0,1,0,1,1
0.013930125,1,0,1,0,1,0,1,1
0.014034083,1,0,1,0,1,1,1,1
0.014034167,1,1,1,0,1,1,1,1
0.014242167,1,1,1,0,1,0,1,1
0.014242208,1,0,1,0,1,0,1,1
0.014450208,1,0,1,0,1,1,1,1
