Time [s],Channel 0,Channel 1,Channel 2,Channel 3
-1.461562000,0,0,0,1
-0.000670000,0,0,1,1
-0.000001000,1,0,1,1
0.000000000,0,0,1,1
0.000123000,1,0,1,1
0.000124000,0,0,1,1
0.000168000,1,0,1,1
0.000171000,0,0,1,1
0.000184000,1,0,1,1
0.000186000,0,0,1,1
0.000187000,1,0,1,1
0.000192000,0,0,1,1
0.000193000,1,0,1,1
0.000194000,0,0,1,1
0.000196000,1,0,1,1
0.000200000,0,0,1,1
0.000201000,1,0,1,1
0.000203000,0,0,1,1
0.000204000,1,0,1,1
0.000218000,0,0,1,1
0.000219000,1,0,1,1
0.000250000,1,1,1,1
0.000261000,1,0,1,1
0.000265000,1,1,1,1
0.415653000,1,1,1,0
0.475104000,0,1,1,0
0.475209000,1,1,1,0
0.475313000,0,1,1,0
0.475417000,1,1,1,0
0.475521000,0,1,1,0
0.475626000,1,1,1,0
0.475730000,0,1,1,0
0.475834000,1,1,1,0
0.475938000,0,1,1,0
0.476042000,1,1,1,0
0.476146000,0,1,1,0
0.476355000,1,1,1,0
0.476459000,0,1,1,0
0.476563000,1,1,1,0
0.476667000,0,1,1,0
0.476772000,1,1,1,0
0.476876000,0,1,1,0
0.476980000,1,1,1,0
0.477188000,0,1,1,0
0.477292000,1,1,1,0
0.477397000,0,1,1,0
0.478126000,1,1,1,0
0.478230000,0,1,1,0
0.478334000,1,1,1,0
0.478438000,0,1,1,0
0.479168000,1,1,1,0
0.479272000,0,1,1,0
0.479376000,1,1,1,0
0.496254000,0,1,1,0
0.496358000,1,1,1,0
0.496462000,0,1,1,0
0.496566000,1,1,1,0
0.496670000,0,1,1,0
0.496775000,1,1,1,0
0.496879000,0,1,1,0
0.496983000,1,1,1,0
0.497087000,0,1,1,0
0.497191000,1,1,1,0
0.497296000,0,1,1,0
0.497504000,1,1,1,0
0.497608000,0,1,1,0
0.497712000,1,1,1,0
0.497816000,0,1,1,0
0.497921000,1,1,1,0
0.498025000,0,1,1,0
0.498129000,1,1,1,0
0.498337000,0,1,1,0
0.498442000,1,1,1,0
0.498546000,0,1,1,0
0.499275000,1,1,1,0
0.499379000,0,1,1,0
0.499484000,1,1,1,0
0.499588000,0,1,1,0
0.500317000,1,1,1,0
0.500421000,0,1,1,0
0.500734000,1,1,1,0
0.500838000,0,1,1,0
0.501150000,1,1,1,0
0.501254000,0,1,1,0
0.501359000,1,1,1,0
0.501463000,0,1,1,0
0.501567000,1,1,1,0
0.501671000,0,1,1,0
0.501776000,1,1,1,0
0.501880000,0,1,1,0
0.501984000,1,1,1,0
0.502088000,0,1,1,0
0.502192000,1,1,1,0
0.502296000,0,1,1,0
0.502401000,1,1,1,0
0.502505000,0,1,1,0
0.502713000,1,1,1,0
0.502817000,0,1,1,0
0.502922000,1,1,1,0
0.503026000,0,1,1,0
0.503130000,1,1,1,0
0.503234000,0,1,1,0
0.503338000,1,1,1,0
0.503547000,0,1,1,0
0.503651000,1,1,1,0
0.503755000,0,1,1,0
0.504484000,1,1,1,0
0.504588000,0,1,1,0
0.504693000,1,1,1,0
0.504797000,0,1,1,0
0.505526000,1,1,1,0
0.505630000,0,1,1,0
0.505943000,1,1,1,0
0.506047000,0,1,1,0
0.506255000,1,1,1,0
0.506464000,0,1,1,0
0.506568000,1,1,1,0
0.506672000,0,1,1,0
0.506776000,1,1,1,0
0.506880000,0,1,1,0
0.506985000,1,1,1,0
0.507089000,0,1,1,0
0.507193000,1,1,1,0
0.507297000,0,1,1,0
0.507401000,1,1,1,0
0.507505000,0,1,1,0
0.507610000,1,1,1,0
0.507714000,0,1,1,0
0.507922000,1,1,1,0
0.508026000,0,1,1,0
0.508131000,1,1,1,0
0.508235000,0,1,1,0
0.508339000,1,1,1,0
0.508443000,0,1,1,0
0.508547000,1,1,1,0
0.508756000,0,1,1,0
0.508860000,1,1,1,0
0.508964000,0,1,1,0
0.509693000,1,1,1,0
0.509797000,0,1,1,0
0.509902000,1,1,1,0
0.510006000,0,1,1,0
0.510735000,1,1,1,0
0.510839000,0,1,1,0
0.511152000,1,1,1,0
0.511256000,0,1,1,0
0.511777000,1,1,1,0
0.511881000,0,1,1,0
0.511967000,0,0,1,0
0.511986000,1,0,1,0
0.512071000,1,1,1,0
0.512090000,0,1,1,0
0.512175000,0,0,1,0
0.512194000,1,0,1,0
0.512279000,1,1,1,0
0.512298000,0,1,1,0
0.512383000,0,0,1,0
