Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
0.627757083,1,1,1,1,1,0
0.627757125,1,0,1,1,1,0
0.627861083,1,0,1,1,1,1
0.627861167,1,1,1,1,1,1
0.628069125,1,1,1,1,1,0
0.628069167,1,0,1,1,1,0
0.628173125,1,0,1,1,1,1
0.628173208,1,1,1,1,1,1
0.628277167,1,1,1,1,1,0
0.628277208,1,0,1,1,1,0
0.629005292,1,0,1,1,1,1
0.629005375,1,1,1,1,1,1
0.629109333,1,1,1,1,1,0
0.629109375,1,0,1,1,1,0
0.629213333,1,0,1,1,1,1
0.629213417,1,1,1,1,1,1
0.629317375,1,1,1,1,1,0
0.629317417,1,0,1,1,1,0
0.629421375,1,0,1,1,1,1
0.629421458,1,1,1,1,1,1
0.629525417,1,1,1,1,1,0
0.629525458,1,0,1,1,1,0
0.630045500,1,0,1,1,1,1
0.630045583,1,1,1,1,1,1
0.630149542,1,1,1,1,1,0
0.630149583,1,0,1,1,1,0
0.630461583,1,0,1,1,1,1
0.630461667,1,1,1,1,1,1
0.630565625,1,1,1,1,1,0
0.630565667,1,0,1,1,1,0
0.630773625,1,0,1,1,1,1
0.630773708,1,1,1,1,1,1
0.630877667,1,1,1,1,1,0
0.630877708,1,0,1,1,1,0
0.631085708,1,0,1,1,1,1
0.631085792,1,1,1,1,1,1
0.631189750,1,1,1,1,1,0
0.631189792,1,0,1,1,1,0
0.631501792,1,0,1,1,1,1
0.631501833,1,1,1,1,1,1
0.631605833,1,1,1,1,1,0
0.631605875,1,0,1,1,1,0
0.631709833,1,0,1,1,1,1
0.631709917,1,1,1,1,1,1
0.631813875,1,1,1,1,1,0
0.631813917,1,0,1,1,1,0
0.632021875,1,0,1,1,1,1
0.632021958,1,1,1,1,1,1
0.632229958,1,1,1,1,1,0
0.632230000,1,0,1,1,1,0
0.633166125,1,0,1,1,1,1
0.633166208,1,1,1,1,1,1
0.633478167,1,1,1,1,1,0
0.633478208,1,0,1,1,1,0
0.633790208,1,0,1,1,1,1
0.633790333,1,1,1,1,1,1
0.633998292,1,1,1,1,1,0
0.633998333,1,0,1,1,1,0
0.634310333,1,0,1,1,1,1
